Sample-ID,BW_V,BL_V,GSW_V,GSL_V,APW_V,APL_V,Length_V,BW_D,BL_D,Machine,Status,Species,Host,Country/Island
V212,1.77,1.15,0.75,0.6,0.28,0.08,0.74,1.78,1.15,Nikon,N,V. destructor,A. cerana,South Korea
V213_1,1.82,1.24,0.8,0.6,NA,0.12,0.73,1.83,1.24,Nikon,B++,V. destructor,A. cerana,South Korea
V642_1,1.82,1.18,NA,0.62,0.27,0.13,0.81,1.83,1.23,Nikon,N,V. destructor,A. cerana,China
V642_2,1.7,1.2,0.76,0.61,0.27,0.12,0.75,1.73,1.15,Nikon,N,V. destructor,A. cerana,China
V657_1,1.65,1.1,0.7,0.58,0.24,0.09,0.67,1.69,1.13,Nikon,N,V. destructor,A. cerana,China
V657_2,1.72,1.14,0.71,0.56,0.29,0.09,0.75,1.73,1.14,Nikon,N,V. destructor,A. cerana,China
V651_1,NA,NA,NA,0.53,0.25,0.11,0.64,1.68,1.14,Nikon,N,V. destructor,A. cerana,China
V577_1,1.69,1.15,0.73,NA,0.27,0.13,0.75,1.72,1.18,Nikon,N,V. destructor,A. cerana,China
V577_2,1.75,1.24,0.75,NA,0.27,0.13,0.74,1.77,1.25,Nikon,N,V. destructor,A. cerana,China
V654_1,1.64,1.1,0.73,0.59,0.28,0.11,0.7,1.69,1.13,Nikon,N,V. destructor,A. cerana,China
V658_1,1.67,1.14,0.71,0.61,0.28,0.12,0.73,1.62,1.11,Nikon,N,V. destructor,A. cerana,China
V658_2,1.66,1.15,0.69,0.57,0.3,0.14,0.7,1.66,1.18,Nikon,N,V. destructor,A. cerana,China
V671_1,1.68,1.14,0.72,0.58,0.26,0.12,0.71,1.65,1.11,Nikon,N,V. destructor,A. cerana,Thailand
V671_2,1.65,1.12,NA,0.57,0.25,0.1,0.68,1.62,1.09,Nikon,B+,V. destructor,A. cerana,Thailand
V676_1,1.64,1.13,NA,0.57,0.25,0.11,0.7,1.66,1.1,Nikon,N,V. destructor,A. cerana,Thailand
V676_2,1.62,1.11,NA,0.55,0.26,0.12,0.69,1.64,1.13,Nikon,N,V. destructor,A. cerana,Thailand
V149,1.73,1.18,0.75,0.6,0.27,0.12,0.75,1.76,1.22,Nikon,N,V. destructor,A. cerana,Viet Nam
V475_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,V. destructor,A. cerana,Viet Nam
V475_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,V. destructor,A. cerana,Viet Nam
V477_1,1.64,1.09,NA,NA,NA,NA,NA,1.69,1.07,Nikon,N,V. destructor,A. cerana,Viet Nam
V477_2,1.67,1.13,0.73,0.58,0.26,0.14,NA,1.66,1.1,Nikon,young,V. destructor,A. cerana,Viet Nam
V477_3,1.73,1.19,NA,0.59,0.28,0.11,0.78,1.76,1.21,Nikon,N,V. destructor,A. cerana,Viet Nam
V153_1,1.81,1.2,NA,0.6,0.28,0.13,0.78,1.83,1.19,Nikon,N,V. destructor,A. mellifera,South Korea
V153_2,1.78,1.28,NA,0.61,0.28,0.12,0.8,1.79,1.22,Nikon,B++,V. destructor,A. mellifera,South Korea
V158_1,1.8,1.18,0.73,0.57,0.29,0.12,0.75,1.8,1.22,Nikon,N,V. destructor,A. mellifera,South Korea
V158_2,1.78,1.22,NA,NA,NA,NA,0.73,1.8,1.23,Nikon,B+,V. destructor,A. mellifera,South Korea
V159_1,1.73,1.18,NA,0.57,NA,NA,0.71,1.73,1.16,Nikon,B++,V. destructor,A. mellifera,South Korea
V639_1,1.71,1.16,0.73,0.55,0.27,0.11,0.74,1.72,1.13,Nikon,N,V. destructor,A. mellifera,China
V625_1,1.68,1.17,NA,NA,NA,NA,NA,1.7,1.15,Nikon,N,V. destructor,A. mellifera,China
V625_2,1.75,1.14,0.76,0.55,0.29,0.09,0.73,1.77,1.2,Nikon,N,V. destructor,A. mellifera,China
V622_1,1.83,1.21,NA,NA,NA,NA,0.8,1.81,1.22,Nikon,N,V. destructor,A. mellifera,China
V622_2,1.7,1.17,0.72,0.59,0.27,0.12,0.74,1.73,1.2,Nikon,N,V. destructor,A. mellifera,China
V641_1,1.8,1.24,NA,0.61,0.29,0.12,0.77,1.79,1.21,Nikon,N,V. destructor,A. mellifera,China
V646_1,1.74,1.16,NA,0.59,0.27,0.12,0.76,1.72,1.17,Nikon,N,V. destructor,A. mellifera,China
V150_1,1.71,1.12,NA,NA,NA,NA,0.79,NA,NA,Nikon,N,V. destructor,A. mellifera,Viet Nam
V150_2,1.68,1.18,NA,NA,NA,NA,NA,NA,NA,Nikon,B+,V. destructor,A. mellifera,Viet Nam
V474_1,1.65,1.08,NA,NA,NA,NA,0.71,NA,NA,Nikon,N,V. destructor,A. mellifera,Viet Nam
V474_2,1.64,1.14,0.69,0.54,0.28,0.12,0.68,NA,NA,Nikon,N,V. destructor,A. mellifera,Viet Nam
V028,1.54,1.1,0.63,NA,0.23,NA,0.61,1.59,1.14,Nikon,B+,V. jacobsoni,A. cerana,Malaysia
V780,1.7,1.16,NA,0.61,NA,NA,0.72,NA,NA,Nikon,B+,V. jacobsoni,A. cerana,Viet Nam
V787_1,1.67,1.17,0.71,0.6,NA,NA,0.71,NA,NA,Nikon,B+,V. jacobsoni,A. cerana,Viet Nam
V787_2,1.54,1.15,NA,NA,NA,NA,NA,NA,NA,Nikon,B+,V. jacobsoni,A. cerana,Viet Nam
V788_1,1.64,1.09,NA,0.58,NA,NA,0.73,NA,NA,Nikon,N,V. jacobsoni,A. cerana,Viet Nam
V788_2,1.57,1.06,NA,NA,NA,NA,0.7,NA,NA,Nikon,N,V. jacobsoni,A. cerana,Viet Nam
V789_1,1.68,1.2,NA,NA,NA,NA,0.69,NA,NA,Nikon,B+,V. jacobsoni,A. cerana,Viet Nam
V789_2,1.54,1.05,NA,NA,NA,NA,0.65,NA,NA,Nikon,N,V. jacobsoni,A. cerana,Viet Nam
V333_1,1.55,1.04,0.65,0.5,0.25,0.12,0.64,1.55,1.07,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V341_1,1.52,1.06,NA,0.47,0.24,0.12,0.62,1.51,1.08,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V347_1,1.56,1.08,NA,0.51,0.25,0.12,0.66,1.51,1.06,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V347_2,1.61,1.1,NA,0.59,0.26,0.13,0.67,1.62,1.11,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V363_1,1.56,1.09,NA,0.53,0.26,NA,0.62,1.55,1.04,Nikon,B++,V. jacobsoni,A. cerana,Indonesia
V565_1,1.53,1.06,NA,0.54,0.26,0.13,0.65,1.54,1.08,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V565_2,1.53,1.05,0.68,0.51,0.24,0.1,NA,1.61,1.05,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V686_2,1.59,1.1,NA,NA,NA,NA,NA,1.58,1.12,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V951_1,1.59,1.08,NA,0.52,0.25,NA,0.67,1.62,1.11,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V951_3,1.49,1.04,NA,0.53,0.23,NA,0.6,1.51,1.01,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V66_1,1.59,1.08,0.66,0.59,0.26,0.11,0.67,1.6,1.12,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V66_3,1.6,1.09,NA,NA,0.24,0.12,0.67,1.59,1.09,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V325_1,1.63,1.14,NA,0.61,0.25,0.14,0.71,1.63,1.16,Nikon,N,V. jacobsoni,A. cerana,Indonesia
V950_1,1.53,1.03,NA,0.55,0.22,0.1,0.64,1.55,1.05,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V950_2,1.51,1.04,0.58,0.48,NA,NA,0.59,1.5,1.06,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V854_1,1.58,1.06,NA,0.55,NA,NA,0.65,1.58,1.09,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V854_2,1.52,1.07,NA,NA,NA,NA,NA,1.53,1.07,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V853_1,1.53,1.04,0.65,0.5,0.26,0.12,0.67,1.54,1.03,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V853_2,NA,NA,NA,NA,NA,NA,NA,1.59,1.12,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V853_3,1.58,1.08,NA,NA,NA,NA,0.61,1.57,1.09,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V853_4,1.42,1,NA,0.52,0.24,0.11,0.61,1.43,0.99,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V983_1,1.53,1.04,NA,NA,NA,NA,NA,1.54,1.08,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V983_2,1.43,1.04,0.64,NA,NA,NA,NA,NA,NA,Nikon,N,V. jacobsoni,A. cerana,Papua New Guinea
V847,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V852_1,1.54,1.09,0.65,0.5,0.25,0.12,0.66,1.56,1.1,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V852_2,1.52,1.08,NA,0.55,NA,NA,0.61,1.57,1.09,Nikon,young,V. jacobsoni,A. mellifera,Papua New Guinea
V852_3,NA,NA,NA,NA,NA,NA,NA,1.46,1.04,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V841_1,1.53,1.06,NA,NA,0.25,NA,0.6,1.54,1.04,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V841_2,1.54,1.1,0.66,0.54,0.26,0.12,0.59,1.52,1.11,Nikon,B+,V. jacobsoni,A. mellifera,Papua New Guinea
V841_3,1.56,1.09,NA,0.56,0.26,0.12,0.65,1.55,1.11,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V857_1,1.61,1.13,NA,NA,0.26,0.12,0.67,1.63,1.13,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V857_2,1.51,1.01,NA,0.55,0.25,0.08,0.6,1.52,1.04,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V857_3,1.47,1.01,NA,NA,NA,NA,NA,1.45,1.06,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V856_1,1.57,1.1,NA,NA,NA,NA,0.62,1.59,1.12,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V952_1,1.57,1.08,0.67,0.55,0.26,0.1,0.63,1.59,1.11,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V952_2,1.46,1.07,NA,NA,NA,NA,NA,1.47,1.05,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V953_1,1.56,1.09,0.67,0.55,0.26,0.12,0.61,1.56,1.1,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V953_2,1.49,1.09,0.63,0.55,0.25,0.11,0.61,1.52,1.1,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V954_1,1.59,1.03,NA,0.56,0.27,0.11,0.67,1.59,1.07,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V954_2,1.58,1.09,NA,NA,NA,NA,0.63,1.61,1.13,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V955_1,1.61,1.13,NA,NA,NA,NA,0.66,1.61,1.18,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V955_2,1.54,1.04,NA,0.54,0.25,0.11,0.65,1.57,1.06,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V956_1,1.58,1.06,NA,NA,NA,NA,0.7,1.58,1.09,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V956_3,1.58,1.05,NA,NA,NA,NA,0.66,1.57,1.06,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
V956_4,NA,NA,NA,0.49,NA,NA,NA,NA,NA,Nikon,N,V. jacobsoni,A. mellifera,Papua New Guinea
Flores-Java_AT2000,1.51,1.063,NA,NA,NA,NA,NA,1.51,1.063,NA,NA,V. jacobsoni reference,Average,NA
Japan_AT2000,1.71,1.1673,NA,NA,NA,NA,NA,1.71,1.1673,NA,NA,V. destructor reference,Average,NA
Luzon1_AT2000,1.53,1.0552,NA,NA,NA,NA,NA,1.53,1.0552,NA,NA,Varroa sp.,Average,NA
Luzon2_AT2000,1.52,1.0674,NA,NA,NA,NA,NA,1.52,1.0674,NA,NA,Varroa sp.,Average,NA
Mindanao_AT2000,1.62,1.086,NA,NA,NA,NA,NA,1.62,1.086,NA,NA,Varroa sp.,Average,NA