Scenario,scenario1_div,scenario2_divGwt2n,scenario3_divGwt,scenario4_IM,scenario5_IMGwt2n,scenario6_IMGwt
best_iter,78,20,5,87,95,75
best_MOL,-4830.277,-4395.572,-4348.397,-4423.267,-4375.849,-4345.455
Iteration_1,-4832.87737,-4398.30229,-4351.37194,-4426.5825,-4378.72363,-4348.48174
Iteration_2,-4833.72819,-4398.40085,-4350.17558,-4427.35203,-4378.88229,-4347.79706
Iteration_3,-4831.25411,-4398.03342,-4352.15104,-4427.01279,-4378.12915,-4348.29625
Iteration_4,-4832.61682,-4397.08342,-4349.91484,-4427.18681,-4378.01892,-4347.23628
Iteration_5,-4833.70948,-4398.42053,-4350.50678,-4425.97926,-4376.93511,-4348.74704
Iteration_6,-4832.66992,-4398.50148,-4351.53203,-4425.95094,-4376.24896,-4347.93212
Iteration_7,-4832.6159,-4398.07991,-4350.36868,-4423.7567,-4378.8829,-4347.73636
Iteration_8,-4833.60511,-4396.84834,-4351.8167,-4426.81799,-4377.96225,-4349.04485
Iteration_9,-4833.14746,-4398.05421,-4350.15982,-4427.21576,-4377.25904,-4348.85123
Iteration_10,-4833.62119,-4398.2674,-4350.92671,-4426.42792,-4378.02861,-4347.38376
Iteration_11,-4832.0771,-4398.35085,-4350.67842,-4426.06723,-4377.51292,-4347.39722
Iteration_12,-4831.50036,-4398.43175,-4351.85452,-4426.1446,-4378.15891,-4348.464
Iteration_13,-4832.74227,-4398.19106,-4350.05278,-4426.1867,-4378.10388,-4348.13395
Iteration_14,-4833.75793,-4397.91332,-4351.139,-4427.21558,-4377.61859,-4349.36849
Iteration_15,-4833.18143,-4398.22168,-4350.57951,-4426.99047,-4377.61031,-4347.10604
Iteration_16,-4832.73914,-4397.16273,-4350.52126,-4427.42497,-4378.65426,-4347.4791
Iteration_17,-4833.44863,-4398.08604,-4349.27272,-4426.79049,-4378.17293,-4348.03944
Iteration_18,-4833.38712,-4397.42417,-4350.23315,-4425.60805,-4379.03347,-4348.31789
Iteration_19,-4833.94309,-4398.10475,-4350.18334,-4426.21826,-4377.59831,-4348.93932
Iteration_20,-4833.06723,-4397.77036,-4350.14308,-4426.98638,-4378.38872,-4348.27572
Iteration_21,-4832.65287,-4397.84313,-4348.64724,-4427.91757,-4377.62652,-4347.90587
Iteration_22,-4833.23139,-4397.5429,-4350.83647,-4427.02204,-4377.88431,-4347.0664
Iteration_23,-4832.48236,-4398.16444,-4350.16879,-4425.76543,-4378.60025,-4347.75202
Iteration_24,-4833.37598,-4398.18571,-4349.65153,-4427.12404,-4378.26947,-4347.5675
Iteration_25,-4832.70567,-4397.53292,-4350.12412,-4428.51333,-4378.48081,-4348.83628
Iteration_26,-4832.13832,-4398.46513,-4350.42788,-4428.15955,-4377.9496,-4349.67457
Iteration_27,-4833.06802,-4397.78397,-4350.87516,-4426.17215,-4379.63703,-4347.16538
Iteration_28,-4832.42535,-4397.55277,-4351.27843,-4427.13395,-4378.37979,-4349.57328
Iteration_29,-4833.82361,-4397.69995,-4350.77942,-4426.85168,-4379.0751,-4347.7708
Iteration_30,-4833.39617,-4397.94624,-4352.66118,-4427.40452,-4377.48398,-4349.54388
Iteration_31,-4832.6511,-4398.42062,-4350.76176,-4426.7801,-4377.67433,-4348.22289
Iteration_32,-4832.28329,-4397.77522,-4350.04107,-4427.58843,-4378.99058,-4348.64505
Iteration_33,-4832.82077,-4397.34238,-4351.08669,-4426.42756,-4378.45841,-4349.32089
Iteration_34,-4832.27769,-4398.58598,-4350.49751,-4426.30683,-4377.84395,-4348.267
Iteration_35,-4832.1734,-4399.16875,-4350.68897,-4425.5994,-4378.2515,-4348.1433
Iteration_36,-4832.63512,-4397.93582,-4351.35417,-4428.00163,-4378.35804,-4346.86734
Iteration_37,-4832.40759,-4399.28002,-4351.06186,-4427.39452,-4378.29103,-4348.70991
Iteration_38,-4833.32866,-4396.61142,-4350.69062,-4427.06775,-4377.48313,-4347.69089
Iteration_39,-4831.9415,-4398.43007,-4351.86447,-4429.5341,-4378.58597,-4348.26557
Iteration_40,-4833.066,-4398.50009,-4350.11972,-4427.21331,-4379.55735,-4348.42931
Iteration_41,-4832.80082,-4399.44933,-4350.42648,-4426.41829,-4378.60323,-4348.511
Iteration_42,-4833.62496,-4396.93818,-4350.46976,-4425.90839,-4379.23318,-4348.07333
Iteration_43,-4833.80383,-4397.8659,-4350.78643,-4427.3475,-4377.80027,-4349.3739
Iteration_44,-4833.25697,-4397.21732,-4351.09063,-4428.75334,-4377.66309,-4349.23022
Iteration_45,-4833.14036,-4399.96901,-4351.05864,-4427.57751,-4377.93552,-4348.54612
Iteration_46,-4832.94996,-4398.65425,-4350.29924,-4426.43169,-4377.61579,-4348.10175
Iteration_47,-4833.48372,-4399.07084,-4350.00375,-4426.43411,-4377.63972,-4348.7555
Iteration_48,-4832.89111,-4397.24633,-4351.73408,-4426.79323,-4378.47909,-4347.44173
Iteration_49,-4832.16413,-4397.47914,-4350.66123,-4425.84355,-4378.50471,-4347.70903
Iteration_50,-4832.97955,-4398.8534,-4350.85106,-4427.0442,-4377.96197,-4348.45615
Iteration_51,-4832.35433,-4397.68817,-4351.71724,-4425.69457,-4378.03419,-4348.99604
Iteration_52,-4833.34941,-4397.48468,-4349.84516,-4426.14438,-4377.27505,-4348.08074
Iteration_53,-4833.73112,-4397.12895,-4350.20765,-4428.04411,-4377.95213,-4348.74147
Iteration_54,-4833.43529,-4398.25764,-4351.35979,-4427.00079,-4377.97665,-4348.90013
Iteration_55,-4833.39779,-4398.81002,-4350.90975,-4425.32605,-4377.76257,-4349.27266
Iteration_56,-4833.44498,-4399.03498,-4350.45413,-4425.34562,-4377.66681,-4346.932
Iteration_57,-4833.07883,-4398.25962,-4350.80474,-4426.85011,-4377.05533,-4349.00642
Iteration_58,-4832.2786,-4397.97233,-4351.98243,-4427.14863,-4378.19731,-4348.42128
Iteration_59,-4832.29061,-4398.23304,-4350.86174,-4427.31963,-4377.66108,-4348.46176
Iteration_60,-4833.43275,-4398.37392,-4349.01665,-4426.00466,-4378.27043,-4347.84265
Iteration_61,-4833.15742,-4397.62855,-4350.90205,-4425.07191,-4377.94096,-4348.75516
Iteration_62,-4832.37466,-4398.68565,-4349.26305,-4426.71305,-4376.83316,-4348.52264
Iteration_63,-4832.88771,-4398.39599,-4350.68006,-4427.17878,-4378.38751,-4347.92937
Iteration_64,-4832.93583,-4397.76645,-4350.13962,-4427.1165,-4378.92374,-4347.15866
Iteration_65,-4832.62467,-4397.35606,-4351.33956,-4425.8132,-4378.31789,-4349.04413
Iteration_66,-4832.56772,-4397.44719,-4350.19794,-4427.16901,-4378.74423,-4348.73288
Iteration_67,-4832.91118,-4398.42905,-4350.26809,-4426.61674,-4377.08663,-4349.5585
Iteration_68,-4833.19576,-4398.47596,-4350.44591,-4427.53661,-4378.36569,-4347.55835
Iteration_69,-4833.9682,-4398.45477,-4349.80327,-4425.9979,-4378.37154,-4347.46529
Iteration_70,-4832.20939,-4397.43031,-4350.40244,-4425.22913,-4378.72838,-4347.90538
Iteration_71,-4832.48401,-4398.37566,-4349.99418,-4427.45122,-4377.56994,-4349.19004
Iteration_72,-4833.63598,-4397.73942,-4351.49987,-4428.14859,-4377.91328,-4348.38746
Iteration_73,-4833.99735,-4397.66886,-4350.02144,-4425.63755,-4377.62087,-4346.63279
Iteration_74,-4832.8085,-4398.71318,-4350.42964,-4427.09044,-4378.5846,-4347.20918
Iteration_75,-4832.53648,-4397.89582,-4349.77581,-4426.51633,-4377.49973,-4346.36464
Iteration_76,-4833.06539,-4397.14426,-4351.09558,-4427.38204,-4377.42609,-4347.37883
Iteration_77,-4833.04723,-4398.47623,-4351.27737,-4426.16196,-4377.63948,-4347.48528
Iteration_78,-4831.7805,-4397.1969,-4351.67049,-4427.26598,-4378.32485,-4348.3719
Iteration_79,-4832.03078,-4397.03235,-4348.79749,-4426.15394,-4377.4665,-4349.29511
Iteration_80,-4832.49205,-4398.63635,-4350.83412,-4426.57083,-4377.46783,-4347.90839
Iteration_81,-4832.68196,-4398.16546,-4350.06939,-4427.11969,-4379.12807,-4349.0884
Iteration_82,-4832.57658,-4398.40413,-4350.90138,-4427.49255,-4377.77783,-4347.87304
Iteration_83,-4833.39113,-4397.99355,-4350.91862,-4427.26748,-4378.56211,-4348.14685
Iteration_84,-4833.33953,-4399.70832,-4350.28303,-4427.32656,-4377.71703,-4347.36704
Iteration_85,-4832.37094,-4397.6836,-4351.37283,-4427.08368,-4378.40254,-4347.15251
Iteration_86,-4832.46289,-4398.30808,-4350.68141,-4427.28968,-4378.64145,-4348.66592
Iteration_87,-4832.69125,-4397.58893,-4350.53565,-4426.99572,-4378.33281,-4349.23749
Iteration_88,-4832.79532,-4398.49029,-4351.64231,-4425.77938,-4378.4027,-4347.45279
Iteration_89,-4832.49393,-4397.55831,-4350.26483,-4426.87056,-4378.30331,-4348.31316
Iteration_90,-4833.50206,-4398.97057,-4350.26,-4426.48376,-4379.15158,-4348.61718
Iteration_91,-4831.94888,-4399.26765,-4351.13814,-4425.73367,-4377.71463,-4348.6326
Iteration_92,-4831.78534,-4398.63928,-4349.97748,-4428.37045,-4377.32675,-4347.97449
Iteration_93,-4833.55476,-4397.22684,-4350.49682,-4427.66379,-4377.82123,-4348.07074
Iteration_94,-4832.31386,-4398.38543,-4350.6874,-4425.83974,-4378.69234,-4348.0297
Iteration_95,-4832.08079,-4396.70565,-4351.02007,-4426.50526,-4377.40629,-4348.21285
Iteration_96,-4832.65852,-4398.53631,-4352.00352,-4426.83565,-4377.60073,-4347.19874
Iteration_97,-4832.72434,-4398.04371,-4349.82219,-4426.71922,-4378.01346,-4349.42303
Iteration_98,-4832.09655,-4397.84997,-4351.36216,-4426.51307,-4376.96624,-4347.00123
Iteration_99,-4833.02693,-4398.49884,-4349.90286,-4426.79878,-4378.27764,-4347.01981
Iteration_100,-4832.43493,-4397.13354,-4350.13351,-4425.51149,-4377.85007,-4348.19748